Year,Week,Date,Sales,Cost,Quantity
2014,29,7/18/2014,102695,101685,2931
2014,29,7/19/2014,200056,213869,6168
2014,29,7/20/2014,70112,69417,2001
2014,30,7/21/2014,71480,70774,2040
2014,30,7/22/2014,46704,46221,1333
2014,30,7/23/2014,136587,145260,4208
2014,30,7/24/2014,78798,77274,2249
2014,30,7/25/2014,424984,450063,13101
2014,30,7/26/2014,463627,490541,14292
2014,30,7/27/2014,219461,231811,6763
2014,31,7/28/2014,241158,254613,7432
2014,31,7/29/2014,175005,184802,5396
2014,31,7/30/2014,163186,172165,5029
2014,31,7/31/2014,243527,256882,7506
2014,31,8/1/2014,504258,532073,15548
2014,31,8/2/2014,518095,546655,15974
2014,31,8/3/2014,253221,267148,7807
2014,32,8/4/2014,298410,314930,9205
2014,32,8/5/2014,216201,228108,6668
2014,32,8/6/2014,66503,64926,1898
2014,32,8/7/2014,85106,83085,2429
2014,32,8/8/2014,362124,381708,11160
2014,32,8/9/2014,336738,354810,10374
2014,32,8/10/2014,161413,170014,4971
2014,33,8/11/2014,191476,201623,5899
2014,33,8/12/2014,156846,165087,4832
2014,33,8/13/2014,162922,171505,5020
2014,33,8/14/2014,146614,154425,4520
2014,33,8/15/2014,390062,411015,12021
2014,33,8/16/2014,446330,470710,13751
2014,33,8/17/2014,197382,208370,6082
2014,34,8/18/2014,210329,222024,6481
2014,34,8/19/2014,132162,139654,4072
2014,34,8/20/2014,141404,146094,4245
2014,34,8/21/2014,135323,139837,4061
2014,34,8/22/2014,310501,321085,9320
2014,34,8/23/2014,373836,387344,11218
2014,34,8/24/2014,176679,182570,5294
2014,35,8/25/2014,260747,270320,7823
2014,35,8/26/2014,200110,217281,6279
2014,35,8/27/2014,226389,254468,7342
2014,35,8/28/2014,212671,240114,6922
2014,35,8/29/2014,489517,552640,15919
2014,35,8/30/2014,590955,667067,19210
2014,35,8/31/2014,295166,333256,9597
2014,36,9/1/2014,490297,554239,15959
2014,36,9/2/2014,386887,437705,12601
2014,36,9/3/2014,382435,432438,12444
2014,36,9/4/2014,257374,291126,8376
2014,36,9/5/2014,413101,467210,13441
2014,36,9/6/2014,455480,515207,14821
2014,36,9/7/2014,192965,218308,6280
2014,37,9/8/2014,201476,227961,6558
2014,37,9/9/2014,101157,100397,2887
2014,37,9/10/2014,64886,64443,1852
2014,37,9/11/2014,58408,58103,1667
2014,37,9/12/2014,122489,122040,3496
2014,37,9/13/2014,141517,141018,4039
2014,37,9/14/2014,71231,71029,2033
2014,38,9/15/2014,99086,98744,2828
2014,38,9/16/2014,68568,68358,1957
2014,38,9/17/2014,60792,60597,1735
2014,38,9/18/2014,57213,57092,1633
2014,38,9/19/2014,113029,113111,3226
2014,38,9/20/2014,126555,126572,3612
2014,38,9/21/2014,62329,62332,1779
2014,39,9/22/2014,74841,74963,2136
2014,39,9/23/2014,90748,91040,2590
2014,39,9/24/2014,172984,186924,5321
2014,39,9/25/2014,295327,320217,9097
2014,39,9/26/2014,482477,523411,14863
2014,39,9/27/2014,508481,552700,15672
2014,39,9/28/2014,233919,254556,7208
2014,40,9/29/2014,217822,237392,6714
2014,40,9/30/2014,295046,321768,9095
2014,40,10/1/2014,489873,534553,15106
2014,40,10/2/2014,387742,423149,11952
2014,40,10/3/2014,427452,466518,13174
2014,40,10/4/2014,540808,590227,16666
2014,40,10/5/2014,230792,251913,7113
2014,41,10/6/2014,309569,337952,9542
2014,41,10/7/2014,64371,62085,1753
2014,41,10/8/2014,58106,56140,1585
2014,41,10/9/2014,85113,81997,2315
2014,41,10/10/2014,148206,142778,4031
2014,41,10/11/2014,113756,109696,3097
2014,41,10/12/2014,50301,48490,1369
2014,42,10/13/2014,71531,68892,1945
2014,42,10/14/2014,57333,55448,1561
2014,42,10/15/2014,107525,104015,2924
2014,42,10/16/2014,78478,76163,2135
2014,42,10/17/2014,99763,97787,2714
2014,42,10/18/2014,139683,137540,3800
2014,42,10/19/2014,74739,73506,2034
2014,43,10/20/2014,83830,82670,2285
2014,43,10/21/2014,85208,83969,2320
2014,43,10/22/2014,81648,80698,2226
2014,43,10/23/2014,80329,79236,2185
2014,43,10/24/2014,205178,202314,5588
2014,43,10/25/2014,249471,245935,6798
2014,43,10/26/2014,105913,104300,2886
2014,44,10/27/2014,119646,117605,3254
2014,44,10/28/2014,73779,72801,2007
2014,44,10/29/2014,67569,66986,1839
2014,44,10/30/2014,57443,57103,1564
2014,44,10/31/2014,137337,136559,3739
2014,44,11/1/2014,203924,202881,5546
2014,44,11/2/2014,122358,121781,3328
2014,45,11/3/2014,169243,168300,4599
2014,45,11/4/2014,81787,76047,2076
2014,45,11/5/2014,59958,56751,1522
2014,45,11/6/2014,71587,70643,1903
2014,45,11/7/2014,115511,114167,3067
2014,45,11/8/2014,132454,131025,3517
2014,45,11/9/2014,61078,60198,1622
2014,46,11/10/2014,62716,61848,1661
2014,46,11/11/2014,46399,45985,1234
2014,46,11/12/2014,40741,40377,1083
2014,46,11/13/2014,45352,45149,1208
2014,46,11/14/2014,123456,122909,3283
2014,46,11/15/2014,148902,147913,3957
